original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
3427044-7,30884115,Mono sushi,Hämeentie 58-60,500,HELSINKI,Helsinki,Dan My Oy,04.04.2024,,60.1882355,24.9631039,"Mono sushi, Hämeentie 58-60, 00500 Helsinki, Suomi",Mono sushi,58-60,Hämeentie,00500,Alppiharju,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3177726-9,1070494,Hannele's Bar & Bistro,Mäentakusenkatu 1,33580,TAMPERE,Tampere,Hannele's Bar & Bistro Oy,30.03.2021,,61.49711945,23.889303354473903,"K-Citymarket, Mäentakusenkatu 1, 33580 Tampere, Suomi",K-Citymarket,1,Mäentakusenkatu,33580,Linnainmaa,,Koillinen suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3002166-2,30884637,"Ninan keittiö Ravintola Akseli ",Ilmalankuja 3,240,HELSINKI,Helsinki,Koutafood Oy,17.06.2024,15.06.2026,60.20647005,24.920556818644922,"Ilmalankuja 3, 00240 Helsinki, Suomi",,3,Ilmalankuja,00240,Pasila,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2012865-0,1027395,Motelli Tervakuksa,Tervola,95300,TERVOLA,Tervola,Tervakuksa Oy,01.03.2018,,66.0822914,24.8058841,"Tervola, Lappi, Suomi",,,,95300,,,,Tervola,Lappi,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2259509-2,1055431,On The Rocks,Fleminginkatu 26-28,510,HELSINKI,Helsinki,"On The Rocks, Helsinki Oy",30.12.2016,,60.1888461,24.952613,"Fleminginkatu 26, 00510 Helsinki, Suomi",,26,Fleminginkatu,00510,Alppiharju,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.81,1,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2676277-5,30056924,Sarfvik Beach Club,Siltaranta 8,2390,SARVVIK,Kirkkonummi,JVdeal OY,03.04.2020,,60.1558431,24.6096758,"Sarfvik Beach Club, Siltaranta 8, 02390 Kirkkonummi, Suomi",Sarfvik Beach Club,8,Siltaranta,02390,Sarvvik,,Itäinen Kirkkonummi,Kirkkonummi,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2518738-5,30045720,Woolshed Bar & Kitchen,Töölönlahdenkatu 3,100,HELSINKI,Helsinki,Koala Bar Oy,23.04.2018,,60.173678800000005,24.939271560910427,"KPMG, Töölönlahdenkatu 3, 00100 Helsinki, Suomi",KPMG,3,Töölönlahdenkatu,00100,Keskusta,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1881951-6,1055069,Restaurang Nautical,Hamngatan 2,22100,MARIEHAMN,Maarianhamina - Mariehamn,Restaurang Nautical Ab,09.03.2004,,60.0972474,19.9265269,"Ahvenanmaan merenkulkumuseo, Hamngatan 2, 22100 Maarianhamina, Suomi",Ahvenanmaan merenkulkumuseo,2,Hamngatan,22100,Dalberg,Ahvenanmaa,Dalberg,Maarianhamina,Ahvenanmaan maakunta,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2583011-5,1047398,Pancho Villa Oulu,Kauppurienkatu 6-8,90100,OULU,Oulu,LiljaB Oy,10.06.2014,,65.01021630002913,25.47598304989343,"Kauppurienkatu, 90100 Oulu, Suomi",Kauppurienkatu,,Kauppurienkatu,90100,II Vaara,,,Oulu,Pohjois-Pohjanmaa,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1021564-6,30048437,Kokous- ja kylpylähotelli Kasnäs,Kasnäsvägen 1294,25930,KASNÄS,Kemiönsaari,Ab Kasnäsudden Oy,06.06.2018,,59.922452,22.408241,"Kasnäsvägen 1294, 25930 Kemiönsaari, Suomi",,1294,Kasnäsvägen,25930,,Varsinais-Suomi,,Kemiönsaari,Lounais-Suomi,Suomi,fi,0.855,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3548761-3,30889376,Burger Compan Hernesaari,Hernesaarenkatu 17,150,HELSINKI,Helsinki,Hamburg Haus Oy,17.01.2026,,60.1564965,24.930571,"Hernesaarenkatu 17, 00150 Helsinki, Suomi",,17,Hernesaarenkatu,00150,Hernesaari,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2227993-8,1039956,Ravintola-Pizzeria Manu,Ollinkalliontie 3,92100,RAAHE,Raahe,Manu Grilli-Pizza-Kebap,01.03.2018,,64.6775201,24.4864974,"Ollinkalliontie 3, 92130 Raahe, Suomi",Ollinkalliontie,3,Ollinkalliontie,92130,Ollinsaari,,Raahe,Raahe,Pohjois-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2921762-5,1062238,Ravintola Resunga,Seurantie 1,1800,KLAUKKALA,Nurmijärvi,Beni Ravintolat Oy,21.08.2018,,60.3783455,24.7553362,"JS Jalkine, Seurantie 1, 01800 Klaukkala, Suomi",JS Jalkine,1,Seurantie,01800,Viirinlaakso,,,Klaukkala,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3330209-9,30887971,Ravintola - kahvila Thure,Raatihuoneenkatu 24,75500,NURMES,Nurmes,Ravintola - kahvila Thure,14.07.2025,,63.541196049999996,29.13786610561462,"Nurmeksen rautatieasema, Raatihuoneenkatu 24, 75500 Nurmes, Suomi",Nurmeksen rautatieasema,24,Raatihuoneenkatu,75500,Kauppala,,,Nurmes,Pohjois-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2321674-4,1034602,Bar Milja,Karjalantie 25,53300,LAPPEENRANTA,Lappeenranta,Tumppi Oy,30.03.2010,,61.070402,28.2628337,"R-Kioski, Karjalantie 25, 53300 Lappeenranta, Suomi",R-Kioski,25,Karjalantie,53300,Lauritsala,,,Lappeenranta,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2884189-9,30883920,Karkelon Tähti,Konalantie 2,370,HELSINKI,Helsinki,Sakina Tayaba Oy,01.04.2024,07.04.2026,60.2251223,24.8542747,"Karkelon Tähti, Konalantie 2, 00370 Helsinki, Suomi",Karkelon Tähti,2,Konalantie,00370,Pitäjänmäki,,Läntinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0225959-3,1776754,Risulahden Tanssilava,Saarentie 94,54530,LUUMÄKI,Luumäki,Luumäen Pojat r.y.,01.03.2018,,60.964271749999995,27.77820821293796,"Risulahden lava, Saarentie 94, 54530 Jurvala, Suomi",Risulahden lava,94,Saarentie,54530,,,Jurvalanharju,Jurvala,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3206925-6,1072398,Kouvot Basket Pub,Huovihongantie 5,45200,KOUVOLA,Kouvola,Kouvot Basket Oy,02.10.2021,,60.876877,26.728501,"Huovihongantie 5, 45200 Kouvola, Suomi",,5,Huovihongantie,45200,,Kymenlaakso,Kouvola,Kouvola,Etelä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2245981-6,30882098,Roast rouhea ravintola,Tammelan puistokatu 34,33100,TAMPERE,Tampere,Priima-Ravintolat Oy,01.07.2023,,61.4993909,23.7793543,"Amadeus Music Bar, Tammelan puistokatu 34, 33100 Tampere, Suomi",Amadeus Music Bar,34,Tammelan puistokatu,33100,Tammela,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0926233-0,1004019,Kahvila Myllypub,Kalliontie 17,85500,NIVALA,Nivala,Kahvila Myllypub Oy,18.06.1998,,63.930794,24.959338,"MyllyPub, Kalliontie 17, 85500 Nivala, Suomi",MyllyPub,17,Kalliontie,85500,,Pohjois-Pohjanmaa,Nivala,Nivala,Pohjois-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2709251-5,30881296,Finlayson Meetings,Satakunnankatu 18 A,33210,TAMPERE,Tampere,Innovation Home Oy,02.05.2023,,61.5011506,23.7612917,"Roof Walk Finlayson Area, Satakunnankatu 18A, 33210 Tampere, Suomi",Roof Walk Finlayson Area,18A,Satakunnankatu,33210,Tammerkoski,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2952993-6,1063948,Ravintola Ranta-Aitta,Jokikatu 8,6100,PORVOO,Porvoo,Oy Borgå Smakboden Ab,05.04.2019,,60.3941981,25.65839682942942,"Jokikatu 8, 06100 Porvoo, Suomi",,8,Jokikatu,06100,Vanha Porvoo,,,Porvoo,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3201853-9,1073351,Hogo Huone,"Viides linja 7, LT 62",530,HELSINKI,Helsinki,Hogo Hammer Oy,15.03.2022,,60.1830292,24.9543267,"HogoHuone, Viides linja 7, 00530 Helsinki, Suomi",HogoHuone,7,Viides linja,00530,Kallio,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2945357-2,1063547,Ravintola Konnichiwa,Otaniementie 12,2150,ESPOO,Espoo,Vicky Hui Oy,01.02.2019,,60.184862800000005,24.825035408243945,"A Bloc, Otaniementie 12, 02150 Espoo, Suomi",A Bloc,12,Otaniementie,02150,Otaniemi,,Suur-Tapiola,Espoo,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2802946-2,1056031,FAF,Bankgatan 6,66900,UUSIKAARLEPYY,Uusikaarlepyy,Indican invest Ab,01.03.2017,,63.523034,22.528843,"Bankgatan 6, 66900 Uusikaarlepyy, Suomi",,6,Bankgatan,66900,,Pohjanmaa,Uusikaarlepyy,Uusikaarlepyy,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3423049-6,30883946,Ravintola Napoli,"Puutarhakatu 20 ",20100,TURKU,Turku,Kielo & kumpp. Oy,25.03.2024,,60.449435,22.25274072538265,"Untamola, Puutarhakatu 20, 20100 Turku, Suomi",Untamola,20,Puutarhakatu,20100,Keskusta,,Puolalanmäki,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2370168-6,30886730,Jolene Happy Bar Vaasa,Hovioikeudenpuistikko 13,65100,VAASA,Vaasa,Tulikuuma Kumpu Oy,26.02.2025,,63.0962278,21.613338,"TK Engineering Oy, Hovioikeudenpuistikko 13, 65100 Vaasa, Suomi",TK Engineering Oy,13,Hovioikeudenpuistikko,65100,Keskusta 3,,Vaasa,Vaasa,Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2033270-7,1071921,Bistro Kirkkopuisto,Kauppakatu 16A,40100,JYVÄSKYLÄ,Jyväskylä,Yöpuu Yhtiö Oy,13.08.2021,,62.2408584,25.7445194,"Kauppakatu 16a, 40100 Jyväskylä, Suomi",Kauppakatu,16a,Kauppakatu,40100,1. kaupunginosa,,Kantakaupunki,Jyväskylä,Keski-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0192936-4,1069774,Sallan Keilahallin kahvio,Teollisuustie 4,98900,SALLA,Salla,Sallan kunta,01.12.2020,,66.8383535,28.681228884821707,"Teollisuustie 4, 98900 Salla, Suomi",,4,Teollisuustie,98900,,,,Salla,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2899464-1,30061252,KasiTori,Untamontie 62,23800,LAITILA,Laitila,KasiTori Oy,22.05.2018,,60.906212,21.637646,"Untamontie 62, 23800 Laitila, Suomi",,62,Untamontie,23800,,Varsinais-Suomi,,Laitila,Lounais-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3184661-5,30070421,Saariston Puoti,Saaristontie 25,83160,TUTJUNNIEMI,Liperi,Ämmykkä Oy,15.04.2021,,62.4058788,29.6048926,"83160 Tutjunniemi (Liperi), Suomi",,,,83160,,,,Liperi,Pohjois-Karjala,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0658353-4,1087629,Veikkaus Arena / Restel Ravintolat Oy,Areenakuja 1,240,HELSINKI,Helsinki,Restel Ravintolat Oy,10.04.1997,,60.1666204,24.9435408,"Helsinki, Uusimaa, Suomi",,,,,,,,Helsinki,Uusimaa,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0963587-0,1069781,Kammi,Muoniontie 955,99130,SIRKKA,Kittilä,Polar Lights Tours Oy,01.12.2020,,67.81514374730261,24.79053657730958,"Muoniontie, 99130 Sirkka, Suomi",Muoniontie,,Muoniontie,99130,,,,Sirkka,Lappi,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3458246-7,30885494,Feng Wei,Ostostie 4,940,HELSINKI,Helsinki,Chao Hong Oy,12.08.2024,,60.2371058,25.0839167,"Ostostie 4, 00940 Helsinki, Suomi",,4,Ostostie,00940,Kontula,,Itäinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0967717-3,1013660,Arena Center Myllypuro,Alakiventie 2,920,HELSINKI,Helsinki,Arena Center Oy,08.10.2002,,60.2209235,25.0798591,"Arena Center Myllypuro, Alakiventie 2, 00920 Helsinki, Suomi",Arena Center Myllypuro,2,Alakiventie,00920,Vartiokylä,Uusimaa,Itäinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2471456-9,30070727,Kärppälän maneesin kahvio,Kärppälänraitti 112,38220,SASTAMALA,Sastamala,Partnos Oy,30.04.2021,,61.371849,23.1044282,"Kärppälänraitti 112, 38220 Kärppälä, Suomi",Kärppälänraitti,112,Kärppälänraitti,38220,,,,Kärppälä,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0545300-9,1771678,Neste kahvila Otava,Hirvensalmentie 2,50670,OTAVA,Mikkeli,Otavan Autohuolto Ky,01.03.2018,,61.6437193,27.0762289,"Neste Truck Mikkeli Otava, Hirvensalmentie 2, 50670 Mikkeli, Suomi",Neste Truck Mikkeli Otava,2,Hirvensalmentie,50670,,,,Mikkeli,Etelä-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3233807-3,1072495,Villa Royal,Kortejärventie 200,38470,SASTAMALA,Sastamala,Villeria Oy,15.10.2021,,61.5508637,22.9624606,"Villa Royal, Kortejärventie 200, 38470 Murto, Suomi",Villa Royal,200,Kortejärventie,38470,,,,Murto,Pirkanmaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0568724-3,1777149,St 1-aseman kahvila Rantakylä,Rantakyläntie 2,50600,MIKKELI,Mikkeli,Oy Oilkase Ab,01.03.2018,,61.6761305,27.2003362,"St1 Rantakylä, Rantakyläntie 2, 50600 Mikkeli, Suomi",St1 Rantakylä,2,Rantakyläntie,50600,Rantakylä,,Mikkeli,Mikkeli,Etelä-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3212507-8,30071660,Kotipizza Töölönkatu,Töölönkatu 27,260,HELSINKI,Helsinki,Black Pizza Oy,22.06.2021,,60.1801809,24.9251706,"Kuu, Töölönkatu 27, 00260 Helsinki, Suomi",Kuu,27,Töölönkatu,00260,Töölö,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2901083-5,1063707,Säästökulman Baari,Kauppatie 48,29900,MERIKARVIA,Merikarvia,Merikarvian Säästökulma Oy,08.02.2019,,61.8601566,21.5064535,"Säästökulman Baari, Kauppatie 48, 29900 Merikarvia, Suomi",Säästökulman Baari,48,Kauppatie,29900,,,,Merikarvia,Satakunta,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0227033-8,30886701,Tuoppi-Kellari,Kauppakatu 15,74100,IISALMI,Iisalmi,Tuoppi-Kellari Oy,27.02.2025,,63.5575889,27.189359,"Bar & Cafe Graceville, Kauppakatu 15, 74100 Iisalmi, Suomi",Bar & Cafe Graceville,15,Kauppakatu,74100,Rohmula,,,Iisalmi,Pohjois-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1092757-1,1871327,Kokkolan Keilakahvio,Kaarlelankatu 55,67100,KOKKOLA,Kokkola,Keilatrio Oy,01.03.2018,,63.84557185,23.132213075194397,"Uintikeskus VesiVeijari, Kaarlelankatu 55, 67100 Kokkola, Suomi",Uintikeskus VesiVeijari,55,Kaarlelankatu,67100,Pohjois-Hakalahti,,Kotimetsä,Kokkola,Keski-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1665103-5,1068800,Café Conrad,Muhostie 88,91800,TYRNÄVÄ,Tyrnävä,Galleria Conrad,30.06.2020,,64.7818896,25.799395013395536,"Galleria Conrad, Muhostie 88, 91800 Tyrnävä, Suomi",Galleria Conrad,88,Muhostie,91800,,,,Tyrnävä,Pohjois-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3590236-2,30889463,LaMero Restaurant,Malminkaari 13-15,700,HELSINKI,Helsinki,Alberto Food Oy,26.02.2026,,60.2515917,25.013784053819062,"Kauppakeskus Malmin Nova, Malminkaari 13-19, 00700 Helsinki, Suomi",Kauppakeskus Malmin Nova,13-19,Malminkaari,00700,Malmi,,Koillinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.855,1,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0842478-0,30033023,Tundrea,Kilpisjärventie 14188,99490,KILPISJÄRVI,Enontekiö,Kilpisjärven Loma Oy,01.04.2018,,69.0165527,20.8732059,"99490 Kilpisjärvi (Enontekiö), Suomi",,,,99490,,,,Enontekiö,Lappi,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3120431-3,30068075,Sofia Ravintola,Aleksanterinkatu 28,170,HELSINKI,Helsinki,Helsinki Group Oy,08.12.2020,,60.1687733,24.951373916999998,"Kiseleffin talo, Aleksanterinkatu 28, 00170 Helsinki, Suomi",Kiseleffin talo,28,Aleksanterinkatu,00170,Kruununhaka,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2060554-1,1032092,Kolkonlahden Kesäkahvio,Altaanmaantie 327,51940,HÄRKÄLÄ,Juva,Anja Hietaneva,01.03.2018,,61.9373848,28.245326414441998,"Altaanmaantie 327, 51940 Rantasalmi, Suomi",,327,Altaanmaantie,51940,,,,Rantasalmi,Etelä-Savo,Suomi,fi,0.855,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3211203-1,1074832,Meijerin Maitobaari,Sysmäntie 16,19700,SYSMÄ,Sysmä,Sysmän Meijerinranta Oy,01.07.2022,,61.4998008,25.692991305149942,"Lintan Kammari, Sysmäntie 16, 19700 Sysmä, Suomi",Lintan Kammari,16,Sysmäntie,19700,,,,Sysmä,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2798588-2,1061169,Taalintehdas ST1,Rantatie 1,25900,TAALINTEHDAS,Kemiönsaari,Saaristo Yhtiöt Oy,06.05.2019,,60.0193355,22.5103077,"Marina, Rantatie 1, 25900 Taalintehdas, Suomi",Marina,1,Rantatie,25900,Byholmen,,,Taalintehdas,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2370168-6,1057832,Letkunpuiston Helmi,Uusikatu 23,90100,OULU,Oulu,Tulikuuma Kumpu Oy,21.07.2017,,65.0118619,25.4762859,"Letkunpuiston Helmi, Uusikatu 23, 90100 Oulu, Suomi",Letkunpuiston Helmi,23,Uusikatu,90100,II Vaara,,,Oulu,Pohjois-Pohjanmaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1475873-6,1044262,Restaurang Pommern,Norragatan 8-10,22100,MARIEHAMN,Maarianhamina - Mariehamn,Åland Hotel Group ÅHG Ab,29.04.2013,,60.09862219682876,19.93666891213007,"Norragatan, 22100 Maarianhamina, Suomi",Norragatan,,Norragatan,22100,Storängen,Ahvenanmaa,Storängen,Maarianhamina,Ahvenanmaan maakunta,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1087979-2,1056604,Cafe & Grill Paseo,Itälahdenkatu 1 A,210,HELSINKI,Helsinki,Raksa Catering Oy,03.05.2017,,60.1475805,24.8828658,"Itälahdenkatu 1, 00210 Helsinki, Suomi",,1,Itälahdenkatu,00210,Lauttasaari,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1100440-2,1040519,Koko Teatteri,Hämeentie 3,530,HELSINKI,Helsinki,KokoTeatteri-yhdistys ry,03.02.2012,,60.1807591,24.9532954,"KokoTeatteri, Hämeentie 3, 00530 Helsinki, Suomi",KokoTeatteri,3,Hämeentie,00530,Kallio,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2027847-2,1023838,Ravintola Teerenpesä,Saariseläntie  5,99830,SAARISELKÄ,Inari,Ravintola Teerenpesä Oy,01.09.2006,,68.4199723,27.41388,"Marimekko, Saariseläntie 5, 99830 Saariselkä, Suomi",Marimekko,5,Saariseläntie,99830,,,,Saariselkä,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0960702-8,1063282,Rieskapaikka,Nelostie 3312,95355,KOIVU,Tervola,Rieskapaikka Oy,08.03.2002,,66.1665976,25.1578087,"Rieskapaikka, Nelostie 3312, 95355 Tervola, Suomi",Rieskapaikka,3312,Nelostie,95355,,,,Tervola,Lappi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2950033-2,30884799,Hokkaido Sushi,Vantaaportinkatu 7,1510,VANTAA,Vantaa,Hokkaido sushibuffet Oy,28.06.2024,,60.292997,25.0435254,"Vantaa, Uusimaa, Suomi",,,,,,,,Vantaa,Uusimaa,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3439207-3,30884655,Ravintola Havanna,Lappeentie 12,55100,IMATRA,Imatra,Fin Helsink Oy,21.05.2024,,61.1711591,28.7681276,"Havanna Pizza Kebab, Lappeentie 12, 55100 Imatra, Suomi",Havanna Pizza Kebab,12,Lappeentie,55100,Imatrankoski,,Imatrankoski,Imatra,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0658353-4,1052895,Rax Ideapark Oulu,Ritaharjuntie 49,90540,OULU,Oulu,Restel Ravintolat Oy,01.03.2018,,65.0761354,25.44565158977966,"Ideapark, Ritaharjuntie 49, 90540 Oulu, Suomi",Ideapark,49,Ritaharjuntie,90540,Ritaharju,,,Oulu,Pohjois-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3229934-2,30072590,Pub Old Mates Tampere,Sumeliuksenkatu 18,33100,TAMPERE,Tampere,Vanhat Toverit Oy,15.04.2022,31.01.2026,61.4955145,23.7768107,"Malike-keskus, Sumeliuksenkatu 18, 33100 Tampere, Suomi",Malike-keskus,18,Sumeliuksenkatu,33100,Tulli,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
