original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
3217078-4,1071826,RAVINTOLA SARANG,Kauppatie 8,4300,TUUSULA,Tuusula,Sarang Oy,01.08.2021,,60.40017,25.0214189,"Ravintola Sarang, Kauppatie 8, 04300 Tuusula, Suomi",Ravintola Sarang,8,Kauppatie,04300,Hyrylä,,Kievari,Tuusula,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0837278-1,1041319,Park Hotel Turku,Rauhankatu 1 A,20100,TURKU,Turku,Park Marketing Oy,26.03.2003,,60.45315895,22.257895876434425,"Rauhankatu 1a, 20100 Turku, Suomi",,1a,Rauhankatu,20100,Keskusta,,Puolalanmäki,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1411065-7,1278006,Grilli-Baari,Kylätie 26,69150,ESKOLA,Kannus,Mauri Antinoja,01.03.2018,,63.915813,24.151991,"Kylätie 26, 69150 Kannus, Suomi",,26,Kylätie,69150,,Keski-Pohjanmaa,,Kannus,Länsi ja Sisä-Suomi,Suomi,fi,0.855,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2077315-8,1068539,Villa Sofia,Valhallantie 8,10270,BARÖSUND,Inkoo,Oy SagaWind Ab,01.06.2020,,59.9757757,23.8815369,"Valhallantie 8, 10270 Inkoo, Suomi",,8,Valhallantie,10270,,,Inkoon pitäjä,Inkoo,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1801682-8,1068597,Lunchrestaurang Ossian,Topeliusgatan 20,250,HELSINKI,Helsinki,Folkhälsan Välfärd Ab,17.06.2020,,60.186879,24.913576,"Topeliusgatan 20, 00250 Helsinki, Suomi",,20,Topeliusgatan,00250,Taka-Töölö,Uusimaa,Eteläinen,Helsinki,Etelä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2694483-5,30889212,Paavola Pub,saimaankatu 18,15140,LAHTI,Lahti,Akreyi Family Oy,04.12.2025,,60.9834119,25.66653,"Saimaankatu 18, 15140 Lahti, Suomi",Saimaankatu,18,Saimaankatu,15140,Paavola,,,Lahti,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1771143-1,30042387,Ravintola moms,Promenadi 1,2700,KAUNIAINEN,Kauniainen,Momentin Restaurants Oy,15.05.2021,,60.210713,24.72861,"Moms, Promenadi 1, 02700 Kauniainen, Suomi",Moms,1,Promenadi,02700,Keskusta,Uusimaa,Kauniainen,Kauniainen,Etelä-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3236149-2,1074145,Luluthai,Ruusutarhantie 5,300,HELSINKI,Helsinki,Domes kitchen Tmi,25.04.2022,,60.2077926,24.8870765,"Lulu Thai, Ruusutarhantie 5, 00300 Helsinki, Suomi",Lulu Thai,5,Ruusutarhantie,00300,Haaga,,Läntinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0920150-3,1042339,Ristorante Momento,Hämeenkatu 9,5800,HYVINKÄÄ,Hyvinkää,Momento Fastfood Oy,18.10.2012,,60.631658349999995,24.86413821110855,"Minetti Hyvinkää, Hämeenkatu 9, 05800 Hyvinkää, Suomi",Minetti Hyvinkää,9,Hämeenkatu,05800,Tehdas,,,Hyvinkää,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1643728-2,1067431,Ravintola Hangout 10,Mustalahdentie 10,960,HELSINKI,Helsinki,L & N Enterprise Oy,28.02.2001,28.02.2026,60.2216415,25.1387426,"Mustalahdentie 10, 00960 Helsinki, Suomi",,10,Mustalahdentie,00960,Vuosaari,,Itäinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
